ano,id_municipio,quantidade_escolas
2019,2105153,40
2019,2105203,23
2019,2105302,226
2019,2105351,38
2019,2105427,45
2019,2105450,18
2019,2105476,91
2019,2105500,58
2019,2105609,20
2019,2105658,11
2019,2105708,68
2019,2105807,39
2019,2105906,38
2019,2105922,15
2019,2105963,32
2019,2105989,17
2019,2106003,32
2019,2106102,22
2019,2106201,11
2019,2106300,35
2019,2106326,28
2019,2106359,39
2019,2106375,29
2019,2106409,29
2019,2106508,55
2019,2106607,61
2019,2106631,54
2019,2106706,41
2019,2106755,29
2019,2106805,29
2019,2106904,106
2019,2107100,41
2019,2107209,39
2019,2107258,8
2019,2107308,5
2019,2107357,38
2019,2107456,33
2019,2107506,119
2019,2107605,52
2019,2107704,30
2019,2107803,49
2019,2107902,35
2019,2108009,36
2019,2108058,63
2019,2108108,43
2019,2108207,50
2019,2108256,86
2019,2108306,87
2019,2108454,57
2019,2108504,68
2019,2108603,157
2019,2108702,52
2019,2108900,55
2019,2109007,40
2019,2109056,14
2019,2109106,50
2019,2109205,28
2019,2109239,20
2019,2109270,47
2019,2109304,46
2019,2109403,56
2019,2109452,28
2019,2109502,32
2019,2109601,71
2019,2109809,110
2019,2109908,87
2019,2110005,162
2019,2110104,77
2019,2110203,65
2019,2110237,23
2019,2110278,50
2019,2110302,46
2019,2110401,50
2019,2110500,87
2019,2110609,53
2019,2110658,10
2019,2110708,57
2019,2110906,31
2019,2111003,66
2019,2111029,37
2019,2111052,26
2019,2111078,66
2019,2111102,34
2019,2111201,200
2019,2111250,14
2019,2111300,719
2019,2111409,77
2019,2111508,59
2019,2111532,13
2019,2111607,28
2019,2111631,17
2019,2111672,15
2019,2111706,48
2019,2111748,25
2019,2111763,31
2019,2111789,34
2019,2111805,30
2019,2111904,22
2019,2111953,10
2019,2112001,12
2019,2112100,57
2019,2112209,193
2019,2112233,25
2019,2112308,69
2019,2112407,110
2019,2112456,63
2019,2112506,89
2019,2112605,71
2019,2112803,105
2019,2112852,13
2019,2112902,65
2019,2113009,58
2019,2114007,92
2019,2200053,10
2019,2200202,19
2019,2200277,10
2019,2200301,29
2019,2200459,8
2019,2200509,26
2019,2200905,16
2019,2201051,17
2019,2201101,10
2019,2201200,56
2019,2201309,13
2019,2201408,8
2019,2201507,54
2019,2201572,10
2019,2201606,25
2019,2201705,12
2019,2201739,7
2019,2201770,21
2019,2201804,12
2019,2201903,28
2019,2202000,30
2019,2202091,9
2019,2202109,16
2019,2202174,19
2019,2202208,42
2019,2202307,26
2019,2202455,10
2019,2202539,15
2019,2202554,13
2019,2202604,31
2019,2202653,15
2019,2202703,50
2019,2202737,6
2019,2202752,11
2019,2202778,10
2019,2202901,38
2019,2203107,14
2019,2203206,27
2019,2203305,15
2019,2203354,9
2019,2203404,12
2019,2203420,9
2019,2203503,21
2019,2203701,58
2019,2203750,9
2019,2203800,8
2019,2203909,82
2019,2204105,4
2019,2204303,14
2019,2204402,31
2019,2204501,12
2019,2204550,14
2019,2204600,6
2019,2204709,15
2019,2204808,11
2019,2205003,20
2019,2205102,32
2019,2205151,15
2019,2205201,24
2019,2205250,10
2019,2205276,17
2019,2205300,13
2019,2205409,22
2019,2205508,40
2019,2205516,12
2019,2205557,12
