id_municipio,ano,familias_beneficiarias
1508035,2019,5333
1508050,2019,2181
1508084,2019,1885
1508100,2019,10268
1508126,2019,3421
1508159,2019,6162
1508209,2019,7728
1508308,2019,9135
1508357,2019,1254
1508407,2019,3494
1600055,2019,890
1600105,2019,2139
1600154,2019,1830
1600204,2019,1375
1600212,2019,805
1600238,2019,780
1600253,2019,1710
1600279,2019,6417
1600303,2019,32456
1600402,2019,4204
1600501,2019,2167
1600535,2019,2635
1600550,2019,640
1600600,2019,14855
1600709,2019,2031
1600808,2019,2401
1700251,2019,224
1700301,2019,561
1700350,2019,597
1700400,2019,852
1700707,2019,726
1701002,2019,1289
1701051,2019,238
1701101,2019,361
1701309,2019,528
1701903,2019,400
1702000,2019,448
1702109,2019,7089
1702158,2019,773
1702208,2019,3067
1702307,2019,405
1702406,2019,1365
1702554,2019,1483
1702703,2019,397
1702901,2019,1949
1703008,2019,1082
1703057,2019,279
1703073,2019,426
1703107,2019,596
1703206,2019,440
1703305,2019,568
1703602,2019,198
1703701,2019,452
1703800,2019,752
1703826,2019,297
1703842,2019,744
1703867,2019,203
1703883,2019,212
1703891,2019,576
1703909,2019,878
1704105,2019,261
1704600,2019,177
1705102,2019,387
1705508,2019,1983
1705557,2019,555
1705607,2019,460
1706001,2019,641
1706100,2019,760
1706258,2019,91
1706506,2019,532
1707009,2019,1369
1707108,2019,695
1707207,2019,1065
1707306,2019,381
1707405,2019,1237
1707553,2019,295
1707652,2019,430
1707702,2019,993
1708205,2019,1487
1708254,2019,479
1708304,2019,865
1709005,2019,1701
1709302,2019,1410
1709500,2019,2675
1709807,2019,220
1710508,2019,1045
1710706,2019,739
1710904,2019,577
1711100,2019,201
1711506,2019,386
1711803,2019,232
1711902,2019,996
1711951,2019,447
1712009,2019,186
1712157,2019,168
1712405,2019,393
1712454,2019,275
1712504,2019,446
1712702,2019,157
1712801,2019,398
1713205,2019,1492
1713304,2019,1171
1713601,2019,745
1713700,2019,333
1713809,2019,817
1713957,2019,376
1714203,2019,746
1714302,2019,552
1714880,2019,1092
1715002,2019,468
1715101,2019,460
1715150,2019,187
1715259,2019,305
1715507,2019,143
1715705,2019,577
1715754,2019,566
1716109,2019,1753
1716208,2019,1705
1716307,2019,496
1716505,2019,736
1716604,2019,889
1716653,2019,589
1716703,2019,834
1717008,2019,525
1717206,2019,416
1717503,2019,314
1717800,2019,603
1717909,2019,661
1718006,2019,317
1718204,2019,3810
1718303,2019,840
1718402,2019,363
1718451,2019,257
1718501,2019,531
1718550,2019,568
1718659,2019,158
1718709,2019,302
1718758,2019,714
1718808,2019,736
1718840,2019,266
1718865,2019,430
1718881,2019,289
1718899,2019,188
1718907,2019,519
1719004,2019,182
1720002,2019,268
1720101,2019,554
1720150,2019,144
1720200,2019,1624
1720259,2019,323
1720309,2019,790
1720499,2019,515
1720655,2019,870
1720804,2019,1172
1720853,2019,143
1720903,2019,2203
1720937,2019,180
1720978,2019,186
1721000,2019,12936
1721109,2019,900
1721208,2019,2214
1721257,2019,107
1721307,2019,244
1722081,2019,1370
1722107,2019,1322
2100055,2019,8718
2100105,2019,1435
2100154,2019,2513
2100204,2019,5786
2100303,2019,3694
2100402,2019,1374
2100436,2019,4061
2100477,2019,4624
2100501,2019,1238
2100550,2019,1356
2100600,2019,4696
2100709,2019,6149
2100808,2019,3542
2100832,2019,4114
2100873,2019,2182
2100907,2019,7501
2100956,2019,4717
2101004,2019,5131
2101103,2019,2426
2101202,2019,12747
2101251,2019,3068
2101301,2019,2954
2101350,2019,1039
2101400,2019,8558
2101509,2019,3328
2101608,2019,10221
2101707,2019,11628
2101731,2019,1703
